Категория	Модель	Цена	Производительность	Уст. мощность	Потр. мощность	Персонал	Тип сырья	Готовый продукт	Площадь	Высота потолков
??????????????	Линия по производству топливных брикетов 500 кг/час	от 10 524 000 руб.	500 кг/час	101 кВт	71 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливный брикет Pini & Kay	200 м²	Не менее 5 м
??????????????	Линия по производству топливных брикетов 1000 кг/час	от 12 946 000 руб.	800-1000 кг/час	148 кВт	104 кВт	2-4 человека	Опил, щепа, горбыль, лузга	Топливный брикет Pini & Kay	200 м²	Не менее 5 м
??????????????	Линия по производству топливных брикетов 1200 кг/час	от 23 173 000 руб.	1200 кг/час	255 кВт	158 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливный брикет Pini & Kay	250 м²	Не менее 5 м
??????????????	Линия по производству топливных брикетов 2000 кг/час	от 33 030 000 руб.	2000 кг/час	398 кВт	280 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливный брикет Pini & Kay	400 м²	Не менее 6 м
??????????????	Линия по производству топливных пеллет 500 кг/час	от 9 200 000 руб.	500 кг/час	97 кВт	68 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливные гранулы 6–8 мм	200 м²	Не менее 5 м
??????????????	Линия по производству топливных пеллет 1000 кг/час	от 14 800 000 руб.	1000 кг/час	153 кВт	108 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливные гранулы 6–8 мм	200 м²	Не менее 5 м
??????????????	Линия по производству топливных пеллет 1200 кг/час	от 23 302 000 руб.	1200 кг/час	219 кВт	154 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливные гранулы 6–8 мм	250 м²	Не менее 5 м
??????????????	Линия по производству топливных пеллет 2000 кг/час	от 34 511 000 руб.	2000 кг/час	341 кВт	240 кВт	2-3 человека	Опил, щепа, горбыль, лузга	Топливные гранулы 6–8 мм	400 м²	Не менее 6 м
????????? ?????	Сушильная линия 500 кг/час	от 6 097 000 руб.	500 кг/час	21 кВт	15 кВт	1-2 человека	Опил, щепа, горбыль, лузга	Сухой опил, лузга и т.д. влажностью 6-12%	150 м²	Не менее 5 м
????????? ?????	Сушильная линия 1000 кг/час	от 7 769 000 руб.	1000 кг/час	38 кВт	27 кВт	1-2 человека	Опил, щепа, горбыль, лузга	Сухой опил, лузга и т.д. влажностью 6-12%	150 м²	Не менее 5 м
????????? ?????	Сушильная линия 1200 кг/час	от 15 005 000 руб.	1200 кг/час	69 кВт	49 кВт	1-2 человека	Опил, щепа, горбыль, лузга	Сухой опил, лузга и т.д. влажностью 6-12%	200 м²	Не менее 5 м
????????? ?????	Сушильная линия 2000 кг/час	от 21 631 000 руб.	2000 кг/час	101 кВт	71 кВт	1-2 человека	Опил, щепа, горбыль, лузга	Сухой опил, лузга и т.д. влажностью 6-12%	250 м²	Не менее 6 м